"id","days","averageAQI","color","score","label"
"优",3,33,"#f1eef6",88,"AQI < 50"
"良",23,74,"#d7b5d8",1710,"100>AQI > 50"
"轻度污染",5,73,"#df65b0",368,"150>AQI > 100"
"中度污染",0,0,"#dd1c77",0,"200>AQI > 150"
"重度污染",0,0,"#980043",0,"300>AQI > 200"
