"id","days","averageAQI","color","score","label"
"优",2,39,"#f1eef6",78,"AQI < 50"
"良",16,82,"#d7b5d8",1318,"100>AQI > 50"
"轻度污染",7,113,"#df65b0",794,"150>AQI > 100"
"中度污染",4,179,"#dd1c77",717,"200>AQI > 150"
"重度污染",0,0,"#980043",0,"300>AQI > 200"
